,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
50,Garrett Temple,SG,6-5,195,515894400000,US,9,LSU
51,Lance Thomas,PF,6-8,240,577843200000,US,8,Duke
52,Dwayne Bacon,SG,6-6,221,809740800000,US,2,Florida State
53,Nicolas Batum,SF,6-9,230,598060800000,FR,11,
54,Bismack Biyombo,C,6-8,255,714960000000,CD,8,
55,Miles Bridges,SF,6-6,225,890438400000,US,1,Michigan State
56,Joe Chealey,PG,6-3,190,815184000000,US,1,College of Charleston
57,Devonte' Graham,PG,6-1,195,793411200000,US,1,Kansas
58,Willy HernangÃ³mez,C,6-11,250,769996800000,ES,3,
59,Caleb Martin,SF,6-5,205,812246400000,US,R,"NC State, Nevada"
60,Cody Martin,SF,6-5,205,812246400000,US,R,"NC State, Nevada"
61,Jalen McDaniels,SF,6-10,205,886204800000,US,R,San Diego State
62,Malik Monk,SG,6-3,200,886550400000,US,2,Kentucky
63,Terry Rozier,PG,6-1,190,763862400000,US,4,Louisville
64,P.J. Washington,PF,6-7,230,903830400000,US,R,Kentucky
65,Cody Zeller,C,7-0,240,718243200000,US,6,Indiana
66,Marques Bolden,C,6-11,245,892771200000,US,R,Duke
67,Matthew Dellavedova,PG,6-3,200,652752000000,AU,6,Saint Mary's
68,Darius Garland,SG,6-1,192,948844800000,US,R,Vanderbilt
69,Kevin Love,PF,6-8,251,589593600000,US,11,UCLA
70,J.P. Macura,SG,6-5,203,802310400000,US,1,Xavier
71,Alfonzo McKinnie,SF,6-7,215,716688000000,US,2,Green Bay
72,Matt Mooney,SG,6-3,199,855273600000,US,R,"Air Force, South Dakota, Texas Tech"
73,Larry Nance,PF,6-7,245,725846400000,US,4,Wyoming
74,Malik Newman,SG,6-3,190,856483200000,US,R,"Mississippi State, Kansas"
75,Cedi Osman,SF,6-7,230,797299200000,MK,2,
76,Kevin Porter,SF,6-4,203,957398400000,US,R,USC
77,Collin Sexton,PG,6-1,190,915408000000,US,1,Alabama
78,Tristan Thompson,PF,6-9,254,668822400000,CA,8,Texas
79,Dean Wade,PF,6-9,228,848448000000,US,R,Kansas State
80,Ante Å½iÅ¾iÄ‡,C,6-10,266,852336000000,HR,2,
81,J.J. Barea,PG,5-10,180,457056000000,PR,13,Northeastern University
82,Ryan Broekhoff,SF,6-6,215,651369600000,AU,1,Valparaiso
83,Jalen Brunson,PG,6-1,190,841449600000,US,1,Villanova
84,Antonius Cleveland,SG,6-5,195,760147200000,US,1,SE Missouri State
85,Seth Curry,SG,6-2,185,651369600000,US,5,"Liberty, Duke"
86,Luka DonÄiÄ‡,PG,6-7,230,920160000000,SI,1,
87,Dorian Finney-Smith,PF,6-7,220,736473600000,US,3,Florida
88,Tim Hardaway,SG,6-5,205,700704000000,US,6,Michigan
89,Justin Jackson,PF,6-7,220,796348800000,US,2,UNC
