,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
402,Yogi Ferrell,PG,6-0,178,736905600000,US,3,Indiana
403,De'Aaron Fox,PG,6-3,185,882576000000,US,2,Kentucky
404,Wenyen Gabriel,PF,6-9,200,859334400000,SD,R,Kentucky
405,Harry Giles,C,6-11,240,893203200000,US,1,Duke
406,Kyle Guy,SG,6-1,167,871257600000,US,R,Virginia
407,Buddy Hield,SG,6-4,220,724550400000,BS,3,Oklahoma
408,Richaun Holmes,C,6-10,235,750643200000,US,4,Bowling Green
409,Justin James,SF,6-7,190,854064000000,US,R,Wyoming
410,DaQuan Jeffries,SG,6-5,230,872899200000,US,R,"Oral Roberts, Tulsa"
411,Cory Joseph,PG,6-3,200,682646400000,CA,8,Texas
412,Alex Len,C,7-0,250,740188800000,UA,6,Maryland
413,Eric Mika,C,6-10,230,789264000000,US,R,BYU
414,Jabari Parker,PF,6-8,245,795225600000,US,5,Duke
415,Caleb Swanigan,C,6-9,260,861321600000,US,2,Purdue
416,Anthony Tolliver,PF,6-8,240,486432000000,US,11,Creighton
417,LaMarcus Aldridge,C,6-11,250,490579200000,US,13,Texas
418,Marco Belinelli,SG,6-5,220,512092800000,IT,12,
419,DeMarre Carroll,SF,6-6,215,522806400000,US,10,"Vanderbilt, Missouri"
420,DeMar DeRozan,SF,6-6,220,618451200000,US,10,USC
421,Drew Eubanks,C,6-9,245,854755200000,US,1,Oregon State
422,Bryn Forbes,SG,6-2,205,743385600000,US,3,Michigan State
423,Rudy Gay,PF,6-8,250,524620800000,US,13,UConn
424,Keldon Johnson,SF,6-5,220,939600000000,US,R,Kentucky
425,Trey Lyles,PF,6-9,234,815529600000,CA,4,Kentucky
426,Chimezie Metu,C,6-9,225,858988800000,US,1,USC
427,Patty Mills,PG,6-1,180,587260800000,AU,10,Saint Mary's
428,Dejounte Murray,PG,6-4,180,843091200000,US,2,Washington
429,Jakob Poeltl,C,7-1,245,813715200000,AT,3,Utah
430,Luka Å amaniÄ‡,PF,6-10,227,947376000000,HR,R,
431,Lonnie Walker,SG,6-5,204,913593600000,US,1,Miami (FL)
432,Quinndary Weatherspoon,SG,6-3,205,842313600000,US,R,Mississippi State
433,Derrick White,SG,6-4,190,773107200000,US,2,"Colorado-Colorado Springs, Colorado"
434,Tyler Zeller,C,7-0,253,632534400000,US,7,UNC
435,OG Anunoby,SF,6-7,232,869097600000,GB,2,Indiana
436,Chris Boucher,C,6-9,200,726710400000,LC,2,Oregon
437,Oshae Brissett,SF,6-7,210,898300800000,CA,R,Syracuse
438,Terence Davis,SG,6-4,201,863740800000,US,R,Ole Miss
439,Marc Gasol,C,6-11,255,475804800000,ES,11,
440,Dewan Hernandez,C,6-10,235,850089600000,US,R,Miami (FL)
441,Rondae Hollis-Jefferson,PF,6-6,217,789091200000,US,4,Arizona
442,Serge Ibaka,C,7-0,235,622080000000,CG,10,
443,Stanley Johnson,PF,6-6,242,833328000000,US,4,Arizona
444,Kyle Lowry,PG,6-0,196,512092800000,US,13,Villanova
445,Patrick McCaw,SF,6-7,181,814579200000,US,3,UNLV
446,Malcolm Miller,SF,6-7,210,731376000000,US,2,Holy Cross
447,Shamorie Ponds,PG,6-0,180,899078400000,US,R,St. John's
448,Norman Powell,SG,6-3,215,738288000000,US,4,UCLA
449,Pascal Siakam,PF,6-9,230,765244800000,CM,3,New Mexico State
450,Matt Thomas,SG,6-4,190,775958400000,US,R,Iowa State
451,Fred VanVleet,SG,6-1,197,762134400000,US,3,Wichita State
452,Paul Watson,SF,6-7,215,788745600000,US,R,Fresno State
453,Bojan BogdanoviÄ‡,SF,6-8,226,608860800000,BA,5,
454,Tony Bradley,C,6-10,248,884217600000,US,2,UNC
455,Jarrell Brantley,PF,6-5,250,834105600000,US,R,College of Charleston
456,Jordan Clarkson,SG,6-4,194,707875200000,US,5,"Tulsa, Missouri"
457,Mike Conley,PG,6-1,175,560908800000,US,12,Ohio State
458,Ed Davis,C,6-9,218,613008000000,US,9,UNC
459,Dante Exum,SG,6-5,214,805593600000,AU,4,
460,Rudy Gobert,C,7-1,258,709516800000,FR,6,
461,Jeff Green,PF,6-8,235,525571200000,US,11,Georgetown
462,Joe Ingles,PF,6-7,220,560131200000,AU,5,
463,Stanton Kidd,SG,6-6,215,700876800000,US,R,"South Plains College, NC Central, Colorado State"
464,Donovan Mitchell,SG,6-1,215,842054400000,US,2,Louisville
465,Juwan Morgan,PF,6-8,232,861235200000,US,R,Indiana
466,Emmanuel Mudiay,PG,6-3,200,825984000000,CD,4,
467,Georges Niang,PF,6-7,230,740275200000,US,3,Iowa State
468,Royce O'Neale,SF,6-4,226,739238400000,US,2,"Denver, Baylor"
469,Miye Oni,SF,6-5,206,870652800000,US,R,Yale
470,Rayjon Tucker,SG,6-5,210,875059200000,US,R,
471,Nigel Williams-Goss,PG,6-2,190,779673600000,US,R,"Gonzaga, Washington"
472,Justin Wright-Foreman,PG,6-0,190,877910400000,US,R,Hofstra
473,Ryan Arcidiacono,PG,6-3,195,764640000000,US,2,Villanova
474,Wendell Carter,C,6-9,270,924220800000,US,1,Duke
475,Kris Dunn,PG,6-3,205,763948800000,US,3,Providence
476,Cristiano FelÃ­cio,C,6-10,270,710467200000,BR,4,
477,Daniel Gafford,C,6-10,234,907200000000,US,R,Arkansas
478,Shaquille Harrison,SG,6-7,190,749865600000,US,2,Tulsa
479,Chandler Hutchison,SF,6-7,210,830476800000,US,1,Boise State
480,Luke Kornet,C,7-2,250,805766400000,US,2,Vanderbilt
481,Zach LaVine,SG,6-6,200,794793600000,US,5,UCLA
482,Lauri Markkanen,PF,7-0,240,864259200000,FI,2,Arizona
483,Adam Mokoka,SF,6-5,190,900720000000,FR,R,
484,Otto Porter,SF,6-8,198,739065600000,US,6,Georgetown
485,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,688780800000,CZ,3,
486,Max Strus,SF,6-6,215,827971200000,US,R,"Lewis (IL), DePaul"
487,Denzel Valentine,SF,6-4,220,753408000000,US,2,Michigan State
488,Coby White,PG,6-4,195,950659200000,US,R,UNC
489,Thaddeus Young,PF,6-8,235,582854400000,US,12,Georgia Tech
490,Goga Bitadze,C,6-11,250,932428800000,GE,R,
491,Brian Bowen,SF,6-6,190,907286400000,US,R,
492,Malcolm Brogdon,PG,6-5,229,724032000000,US,3,Virginia
493,Aaron Holiday,PG,6-0,185,844041600000,US,1,UCLA
494,Justin Holiday,SF,6-6,180,607737600000,US,6,Washington
495,Alize Johnson,PF,6-7,212,830131200000,US,1,Missouri State
496,Jeremy Lamb,SG,6-5,180,707184000000,US,7,UConn
497,T.J. Leaf,PF,6-10,222,862358400000,IL,2,UCLA
498,T.J. McConnell,PG,6-1,190,701481600000,US,4,"Duquesne, Arizona"
499,Doug McDermott,PF,6-7,225,694396800000,US,5,Creighton
500,Naz Mitrou-Long,SG,6-3,218,744336000000,CA,2,Iowa State
501,Victor Oladipo,SG,6-4,213,704937600000,US,6,Indiana
502,Domantas Sabonis,PF,6-11,240,831081600000,US,3,Gonzaga
503,JaKarr Sampson,PF,6-7,214,732585600000,US,4,St. John's
504,Edmond Sumner,SG,6-4,196,820368000000,US,2,Xavier
505,Myles Turner,C,6-11,250,827625600000,US,4,Texas
506,T.J. Warren,SF,6-8,220,747187200000,US,5,NC State
507,Bradley Beal,SG,6-3,207,741225600000,US,7,Florida
508,DÄvis BertÄns,PF,6-10,225,721526400000,LV,3,
509,Isaac Bonga,SF,6-8,180,942019200000,DE,1,
510,Troy Brown,SF,6-6,215,933120000000,US,1,Oregon
511,Thomas Bryant,C,6-10,248,870307200000,US,2,Indiana
512,Chris Chiozza,PG,5-11,175,816912000000,US,1,Florida
513,Jerian Grant,SG,6-4,205,718588800000,US,4,Notre Dame
514,Rui Hachimura,PF,6-8,230,886896000000,JP,R,Gonzaga
515,Ian Mahinmi,C,6-11,262,531532800000,FR,11,
516,Garrison Mathews,SG,6-5,215,846115200000,US,R,Lipscomb
517,Jordan McRae,SG,6-5,179,670118400000,US,3,Tennessee
518,C.J. Miles,SF,6-6,220,543024000000,US,14,
519,Shabazz Napier,PG,6-0,175,679449600000,US,5,UConn
520,AnÅ¾ejs PaseÄÅ†iks,C,7-1,229,819417600000,LV,R,
521,Gary Payton,SF,6-3,190,723168000000,US,3,Oregon State
522,Jerome Robinson,SG,6-4,190,856569600000,US,1,Boston College
523,Justin Robinson,PG,6-1,195,876614400000,US,R,Virginia Tech
524,Admiral Schofield,PF,6-5,241,859680000000,GB,R,Tennessee
525,Ish Smith,PG,6-0,175,584064000000,US,9,Wake Forest
526,Isaiah Thomas,PG,5-9,185,602812800000,US,8,Washington
527,Jarrod Uthoff,PF,6-9,221,737769600000,US,1,Iowa
528,Moritz Wagner,C,6-11,245,862012800000,DE,1,Michigan
529,Johnathan Williams,PF,6-9,228,801100800000,US,1,"Missouri, Gonzaga"
