,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
258,Brian Bowen,SF,6-6,190,1998-10-02,US,R,
259,Malcolm Brogdon,PG,6-5,229,1992-12-11,US,3,Virginia
260,Aaron Holiday,PG,6-0,185,1996-09-30,US,1,UCLA
261,Justin Holiday,SF,6-6,180,1989-04-05,US,6,Washington
262,Alize Johnson,PF,6-7,212,1996-04-22,US,1,Missouri State
263,Jeremy Lamb,SG,6-5,180,1992-05-30,US,7,UConn
264,T.J. Leaf,PF,6-10,222,1997-04-30,IL,2,UCLA
265,T.J. McConnell,PG,6-1,190,1992-03-25,US,4,"Duquesne, Arizona"
266,Doug McDermott,PF,6-7,225,1992-01-03,US,5,Creighton
267,Naz Mitrou-Long,SG,6-3,218,1993-08-03,CA,2,Iowa State
268,Victor Oladipo,SG,6-4,213,1992-05-04,US,6,Indiana
269,Domantas Sabonis,PF,6-11,240,1996-05-03,US,3,Gonzaga
270,JaKarr Sampson,PF,6-7,214,1993-03-20,US,4,St. John's
271,Edmond Sumner,SG,6-4,196,1995-12-31,US,2,Xavier
272,Myles Turner,C,6-11,250,1996-03-24,US,4,Texas
273,T.J. Warren,SF,6-8,220,1993-09-05,US,5,NC State
274,Patrick Beverley,PG,6-1,180,1988-07-12,US,7,Arkansas
275,Amir Coffey,SG,6-7,210,1997-06-17,US,R,Minnesota
276,Paul George,SG,6-8,220,1990-05-02,US,9,Fresno State
277,JaMychal Green,PF,6-8,227,1990-06-21,US,5,Alabama
278,Maurice Harkless,PF,6-7,220,1993-05-11,US,7,St. John's
279,Montrezl Harrell,C,6-7,240,1994-01-26,US,4,Louisville
280,Reggie Jackson,SG,6-3,208,1990-04-16,IT,8,Boston College
281,Mfiondu Kabengele,C,6-9,250,1997-08-14,CA,R,Florida State
282,Kawhi Leonard,SF,6-7,225,1991-06-29,US,8,San Diego State
283,Terance Mann,SF,6-5,215,1996-10-18,US,R,Florida State
284,Rodney McGruder,SG,6-4,205,1991-07-29,US,3,Kansas State
285,Marcus Morris,PF,6-8,218,1989-09-02,US,8,Kansas
286,Johnathan Motley,PF,6-8,230,1995-05-04,US,2,Baylor
287,Joakim Noah,C,6-11,230,1985-02-25,US,12,Florida
288,Patrick Patterson,PF,6-8,235,1989-03-14,US,9,Kentucky
289,Jerome Robinson,SG,6-4,190,1997-02-22,US,1,Boston College
290,Landry Shamet,SG,6-4,190,1997-03-13,US,1,Wichita State
291,Derrick Walton,PG,6-0,189,1995-04-03,US,1,Michigan
292,Lou Williams,PG,6-1,175,1986-10-27,US,14,
293,Ivica Zubac,C,7-0,240,1997-03-18,BA,3,
294,Kostas Antetokounmpo,PF,6-10,200,1997-11-20,GR,1,Dayton
295,Avery Bradley,SG,6-3,180,1990-11-26,US,9,Texas
296,Devontae Cacok,C,6-7,240,1996-10-08,US,R,UNC Wilmington
297,Kentavious Caldwell-Pope,SG,6-5,204,1993-02-18,US,6,Georgia
298,Alex Caruso,PG,6-5,186,1994-02-28,US,2,Texas A&M
299,Quinn Cook,PG,6-1,180,1993-03-23,US,3,Duke
300,Troy Daniels,SG,6-4,200,1991-07-15,US,6,VCU
301,Anthony Davis,PF,6-10,253,1993-03-11,US,7,Kentucky
302,Jared Dudley,PF,6-6,237,1985-07-10,US,12,Boston College
303,Danny Green,SG,6-6,215,1987-06-22,US,10,UNC
304,Talen Horton-Tucker,SG,6-4,234,2000-11-25,US,R,Iowa State
305,Dwight Howard,C,6-10,265,1985-12-08,US,15,
306,LeBron James,PG,6-9,250,1984-12-30,US,16,
