,Year,Tm,Player,Age,G,MP,PER
2249,1985,NYK,Ken Bannister,24,75,1404,7.3
2250,1985,NYK,Truck Robinson,33,2,35,7.3
2251,1985,KCK,Kenny Natt,26,4,16,7.3
2252,1987,SAS,Mike Brittain,23,6,29,7.3
2253,1989,CHI,Ed Nealy,28,13,94,7.3
2254,1991,CHH,Randolph Keys,24,44,473,7.3
2255,1991,LAL,Irving Thomas,25,26,108,7.3
2256,1992,DET,Bob McCann,27,26,129,7.3
2257,1995,DET,Ivano Newbill,24,34,331,7.3
2258,1996,VAN,Gerald Wilkins,32,28,738,7.3
2259,1996,PHI,Mike Brown,32,9,162,7.3
2260,1997,DAL,Greg Dreiling,34,40,389,7.3
2261,1998,TOR,Alvin Williams,23,13,207,7.3
2262,1998,CHI,Rusty LaRue,24,14,140,7.3
2263,1999,PHO,Gerald Brown,23,33,236,7.3
2264,2000,CHI,Randy Brown,31,59,1625,7.3
2265,2000,CLE,Cedric Henderson,24,61,1107,7.3
2266,2002,MIL,Mark Pope,29,45,426,7.3
2267,2003,HOU,Juaquin Hawkins,29,58,685,7.3
2268,2003,LAL,Jannero Pargo,23,34,342,7.3
2269,2003,ATL,Corey Benjamin,24,9,152,7.3
2270,2003,ATL,Amal McCaskill,29,11,70,7.3
2271,2004,PHI,Amal McCaskill,30,59,636,7.3
2272,2004,LAC,Glen Rice,36,18,262,7.3
2273,2006,DAL,Darrell Armstrong,37,62,622,7.3
2274,2006,NOK,Bostjan Nachbar,25,25,405,7.3
2275,2007,ATL,Speedy Claxton,28,42,1054,7.3
2276,2007,GSW,Patrick O'Bryant,20,16,119,7.3
2277,2008,NYK,Malik Rose,33,49,494,7.3
2278,2008,MEM,Brian Cardinal,30,37,440,7.3
2279,2009,MEM,Marko Jaric,30,53,605,7.3
2280,2009,MIL,Malik Allen,30,49,579,7.3
2281,2009,UTA,Morris Almond,23,25,255,7.3
2282,2010,NYK,Eddie House,31,18,371,7.3
2283,2010,GSW,Cartier Martin,25,10,276,7.3
2284,2010,BOS,J.R. Giddens,24,21,99,7.3
2285,2010,POR,Travis Diener,27,5,26,7.3
2286,2011,MIA,Joel Anthony,28,75,1463,7.3
2287,2012,PHI,Tony Battie,35,27,295,7.3
2288,2012,WAS,Edwin Ubiles,25,4,52,7.3
2289,2013,HOU,Cole Aldrich,24,30,213,7.3
2290,2014,PHO,Alex Len,20,42,362,7.3
2291,2015,LAC,Jared Cunningham,23,19,89,7.3
2292,2016,SAC,James Anderson,26,7,76,7.3
2293,1978,IND,Johnny Neumann,26,20,216,7.4
2294,1979,CHI,Steve Sheppard,24,22,203,7.4
2295,1980,NYK,Larry Demic,22,82,1872,7.4
2296,1980,DEN,Charlie Scott,31,69,1860,7.4
2297,1980,CHI,Dennis Awtrey,31,26,560,7.4
2298,1982,SEA,Armond Hill,28,21,243,7.4
2299,1983,PHI,Reggie Johnson,25,29,549,7.4
2300,1985,NJN,Jeff Turner,22,72,1429,7.4
2301,1985,GSW,Steve Burtt,22,47,418,7.4
2302,1987,MIL,Paul Mokeski,30,62,626,7.4
2303,1988,DAL,Uwe Blab,25,73,658,7.4
2304,1989,WSB,Charles Jones,31,53,1154,7.4
2305,1989,SAS,Jay Vincent,29,24,551,7.4
2306,1989,NJN,Ron Cavenall,29,5,16,7.4
2307,1990,DAL,Randy White,22,55,707,7.4
2308,1990,MIL,Gerald Henderson,34,11,129,7.4
2309,1991,ORL,Greg Kite,29,82,2225,7.4
2310,1991,IND,Randy Wittman,31,41,355,7.4
2311,1991,MIA,Alan Ogg,23,31,261,7.4
2312,1992,ATL,Jon Koncak,28,77,1489,7.4
2313,1992,PHI,Jayson Williams,23,50,646,7.4
2314,1992,MIN,Tom Garrick,25,15,112,7.4
2315,1993,GSW,Ed Nealy,32,30,229,7.4
2316,1994,CLE,Gerald Madkins,24,22,149,7.4
2317,1996,WSB,Mitchell Butler,25,61,858,7.4
2318,1996,MIL,Alton Lister,37,7,88,7.4
2319,1997,TOR,Sharone Wright,24,60,1009,7.4
2320,1997,TOR,Hubert Davis,26,36,623,7.4
2321,1999,SAS,Jerome Kersey,36,45,699,7.4
2322,1999,DAL,Hot Rod Williams,36,25,403,7.4
2323,1999,MIN,Bill Curley,26,35,372,7.4
2324,2000,CHI,Rusty LaRue,26,4,129,7.4
2325,2001,HOU,Jason Collier,23,23,222,7.4
2326,2002,LAC,Keyon Dooling,21,14,155,7.4
2327,2003,DAL,Evan Eschmeyer,27,17,135,7.4
2328,2003,CHI,Roger Mason,22,17,113,7.4
2329,2004,TOR,Milt Palacio,25,59,1211,7.4
2330,2004,LAC,Doug Overton,34,55,1011,7.4
2331,2004,PHI,Greg Buckner,27,53,703,7.4
2332,2004,CHI,Chris Jefferies,23,19,187,7.4
2333,2005,WAS,Damone Brown,25,14,152,7.4
2334,2005,DET,Anthony Goldwire,33,9,55,7.4
2335,2006,LAC,Quinton Ross,24,67,1515,7.4
2336,2006,LAL,Andrew Bynum,18,46,338,7.4
2337,2006,SEA,Vitaly Potapenko,30,24,321,7.4
2338,2007,POR,Joel Przybilla,27,43,701,7.4
2339,2007,MIA,Robert Hite,23,12,136,7.4
2340,2007,DET,Ronald Dupree,26,19,94,7.4
2341,2008,PHI,Louis Amundson,25,16,64,7.4
2342,2009,BOS,Brian Scalabrine,30,39,504,7.4
2343,2009,HOU,Brian Cook,28,9,25,7.4
2344,2010,LAL,Adam Morrison,25,31,241,7.4
2345,2013,WAS,Shaun Livingston,27,17,320,7.4
2346,2013,MEM,Hamed Haddadi,27,13,87,7.4
2347,2014,BRK,Jason Terry,36,35,570,7.4
2348,2015,OKC,Kendrick Perkins,30,51,981,7.4
2349,2015,IND,Chris Copeland,30,50,828,7.4
2350,2015,MIN,Troy Daniels,23,19,154,7.4
2351,1978,NJN,Jan Van Breda Kolff,26,68,1419,7.5
2352,1978,MIL,Rich Laurel,23,10,57,7.5
2353,1979,NYK,Ron Behagen,28,5,38,7.5
2354,1981,LAL,Alan Hardy,23,22,111,7.5
2355,1982,NYK,Hollis Copeland,26,18,118,7.5
2356,1982,CLE,Mike Evans,26,8,74,7.5
2357,1983,PHO,David Thirdkill,22,49,521,7.5
2358,1983,NJN,Eddie Phillips,21,48,416,7.5
2359,1983,GSW,Joe Hassett,27,6,139,7.5
2360,1985,BOS,Quinn Buckner,30,75,858,7.5
2361,1985,ATL,Rickey Brown,26,69,814,7.5
2362,1985,GSW,Gary Plummer,22,66,702,7.5
2363,1986,ATL,Scott Hastings,25,62,650,7.5
2364,1988,LAC,Greg Kite,26,40,977,7.5
2365,1988,CLE,Johnny Rogers,24,24,168,7.5
2366,1990,MIN,Doug West,22,52,378,7.5
2367,1990,LAL,Mike Higgins,22,6,18,7.5
2368,1991,PHI,Kenny Payne,24,47,444,7.5
2369,1991,MIL,Greg Anderson,26,26,247,7.5
2370,1991,DET,Lance Blanks,24,38,214,7.5
2371,1991,ORL,Howard Wright,23,8,136,7.5
2372,1994,GSW,Byron Houston,24,71,866,7.5
2373,1994,NJN,Rumeal Robinson,27,17,301,7.5
2374,1996,VAN,Doug Edwards,25,31,519,7.5
2375,1996,NJN,Rick Mahorn,37,50,450,7.5
2376,1996,LAC,Keith Tower,25,34,305,7.5
2377,1996,WSB,Greg Grant,29,10,138,7.5
2378,1998,CLE,Danny Ferry,31,69,1034,7.5
2379,1998,WAS,Harvey Grant,32,65,895,7.5
2380,2000,VAN,Antoine Carr,38,21,221,7.5
2381,2001,DET,Michael Curry,32,68,1485,7.5
2382,2001,ATL,Hanno Mottola,24,73,989,7.5
2383,2001,ORL,Elliot Perry,31,6,39,7.5
2384,2002,LAC,Sean Rooks,32,61,728,7.5
2385,2005,IND,Tremaine Fowlkes,28,8,56,7.5
2386,2006,NJN,Jacque Vaughn,30,80,1234,7.5
2387,2007,CLE,Shannon Brown,21,23,202,7.5
2388,2007,LAL,Aaron McKie,34,10,131,7.5
2389,2008,MIN,Michael Doleac,30,24,257,7.5
2390,2009,DAL,Shawne Williams,22,15,170,7.5
2391,2010,MIA,Daequan Cook,22,45,691,7.5
2392,2010,DET,DaJuan Summers,22,44,405,7.5
2393,2010,NOH,Hilton Armstrong,25,18,239,7.5
2394,2010,CHA,Acie Law,25,9,33,7.5
2395,2011,LAL,Steve Blake,30,79,1581,7.5
2396,2011,IND,James Posey,34,49,839,7.5
2397,2011,ATL,Maurice Evans,32,47,837,7.5
2398,2011,SAS,Chris Quinn,27,41,292,7.5
2399,2013,IND,Sam Young,27,56,693,7.5
2400,2013,OKC,Eric Maynor,25,37,391,7.5
2401,2013,TOR,Dominic McGuire,27,15,230,7.5
2402,2014,MIN,Luc Mbah a Moute,27,55,807,7.5
2403,2014,ORL,Doron Lamb,22,53,695,7.5
2404,2014,PHI,Brandon Davies,22,51,575,7.5
2405,2015,SAC,Nik Stauskas,21,73,1127,7.5
2406,2016,SAS,Danny Green,28,7,195,7.5
2407,1978,IND,Mel Bennett,23,31,285,7.6
2408,1982,DAL,Tom LaGarde,26,47,909,7.6
2409,1983,NYK,Vince Taylor,22,31,321,7.6
2410,1983,KCK,Kenny Dennard,24,22,224,7.6
2411,1983,PHI,Mark McNamara,23,36,182,7.6
2412,1984,PHO,Alvin Scott,28,65,735,7.6
2413,1984,UTA,Bob Hansen,23,55,419,7.6
2414,1984,DEN,Kenny Dennard,25,43,413,7.6
2415,1984,POR,Eddie Jordan,29,13,183,7.6
2416,1984,SDC,Rory White,24,6,19,7.6
2417,1986,DAL,Uwe Blab,23,48,409,7.6
2418,1987,PHO,William Bedford,23,50,979,7.6
2419,1988,LAC,Joe Wolf,23,42,1137,7.6
2420,1988,LAC,Reggie Williams,23,35,857,7.6
2421,1990,DAL,Anthony Jones,27,66,650,7.6
2422,1990,LAC,Ken Bannister,29,52,589,7.6
2423,1990,MIL,Larry Krystkowiak,25,16,381,7.6
2424,1990,ORL,Jawann Oldham,32,3,36,7.6
2425,1991,BOS,A.J. Wynder,26,6,39,7.6
2426,1992,LAC,David Rivers,27,15,122,7.6
2427,1993,CHI,Rodney McCray,31,64,1019,7.6
2428,1993,LAL,Duane Cooper,23,65,645,7.6
2429,1993,CHH,Kevin Lynch,24,40,324,7.6
2430,1993,POR,Reggie Smith,22,23,68,7.6
2431,1994,ORL,Jeff Turner,31,68,1536,7.6
2432,1994,DET,Marcus Liberty,25,35,274,7.6
2433,1994,ATL,John Bagley,33,3,13,7.6
2434,1996,MIN,Doug West,28,73,1639,7.6
2435,1996,VAN,Rich Manning,25,29,311,7.6
2436,1996,CLE,Harold Miner,24,19,136,7.6
2437,1996,POR,Anthony Cook,28,11,60,7.6
2438,1997,SEA,Craig Ehlo,35,62,848,7.6
2439,1997,TOR,Donald Whiteside,27,27,259,7.6
2440,1998,VAN,Ivano Newbill,27,28,249,7.6
2441,1999,SEA,Moochie Norris,25,12,140,7.6
2442,2000,UTA,Adam Keefe,29,62,604,7.6
2443,2000,UTA,Scott Padgett,23,47,432,7.6
2444,2000,IND,Jonathan Bender,19,24,130,7.6
2445,2000,SAC,Bill Wennington,36,7,57,7.6
2446,2001,CHH,Otis Thorpe,38,49,647,7.6
2447,2001,IND,Jonathan Bender,20,59,574,7.6
2448,2002,MIA,Kendall Gill,33,65,1410,7.6
2449,2002,SAS,Cherokee Parks,29,42,234,7.6
2450,2002,DAL,Charlie Bell,22,2,2,7.6
2451,2003,DEN,John Crotty,33,12,180,7.6
2452,2004,BOS,Jumaine Jones,24,42,373,7.6
2453,2006,LAC,Daniel Ewing,22,66,971,7.6
2454,2006,ORL,Stacey Augmon,37,36,385,7.6
2455,2006,UTA,Robert Whaley,23,23,212,7.6
2456,2008,LAC,Quinton Ross,26,76,1505,7.6
2457,2008,DAL,Eddie Jones,36,47,922,7.6
2458,2008,LAC,Smush Parker,26,19,409,7.6
2459,2009,PHI,Royal Ivey,27,71,861,7.6
2460,2009,BOS,Gabe Pruitt,22,47,366,7.6
2461,2009,SAS,Jacque Vaughn,33,30,292,7.6
2462,2009,SAS,Anthony Tolliver,23,19,208,7.6
2463,2009,ORL,Brian Cook,28,21,146,7.6
2464,2010,MIL,Primoz Brezec,30,14,59,7.6
2465,2010,BOS,Bill Walker,22,8,29,7.6
2466,2011,NYK,Jared Jeffries,29,24,463,7.6
2467,2011,ATL,Jordan Crawford,22,16,160,7.6
2468,2011,NYK,Anthony Randolph,21,17,127,7.6
2469,2013,NOH,Xavier Henry,21,50,625,7.6
2470,2013,WAS,Jan Vesely,22,51,601,7.6
2471,2013,PHI,Justin Holiday,23,9,142,7.6
2472,2014,TOR,John Salmons,34,60,1281,7.6
2473,2014,MIL,Ekpe Udoh,26,42,804,7.6
2474,2014,ORL,Ronnie Price,30,31,377,7.6
2475,2014,IND,Solomon Hill,22,28,226,7.6
2476,2014,MIN,Derrick Williams,22,11,162,7.6
2477,2014,LAL,Elias Harris,24,2,11,7.6
2478,2015,NYK,Ricky Ledo,22,12,233,7.6
2479,2016,DEN,Jameer Nelson,33,6,144,7.6
2480,2016,CLE,Jared Cunningham,24,7,84,7.6
2481,1978,NOJ,Freddie Boyd,27,21,363,7.7
2482,1978,HOU,Robin Jones,23,12,66,7.7
2483,1979,BOS,Curtis Rowe,29,53,1222,7.7
2484,1982,HOU,Billy Paultz,33,65,807,7.7
2485,1982,DET,Jeff Judkins,25,30,251,7.7
2486,1984,IND,Tracy Jackson,24,2,10,7.7
2487,1985,NJN,Wayne Sappleton,24,33,298,7.7
2488,1986,CLE,Mark West,25,67,1172,7.7
2489,1986,SEA,Michael Phelps,24,70,880,7.7
2490,1986,UTA,Jeff Wilkins,30,48,604,7.7
2491,1987,NJN,Otis Birdsong,31,7,127,7.7
2492,1988,LAL,Mike Smrek,25,48,421,7.7
2493,1988,NYK,Chris McNealy,26,19,265,7.7
2494,1989,HOU,Allen Leavell,31,55,627,7.7
2495,1989,DET,Micheal Williams,22,49,358,7.7
2496,1990,CLE,Paul Mokeski,33,38,449,7.7
2497,1990,CHH,Dave Hoppen,25,10,135,7.7
2498,1990,POR,Robert Reid,34,12,85,7.7
2499,1991,LAC,Bo Kimble,24,62,1004,7.7
2500,1991,GSW,Les Jepsen,23,21,105,7.7
2501,1992,ORL,Greg Kite,30,72,1479,7.7
2502,1992,PHI,Manute Bol,29,71,1267,7.7
2503,1992,CHH,Kevin Lynch,23,55,819,7.7
2504,1992,DAL,Brian Quinnett,25,15,136,7.7
2505,1993,DAL,Steve Bardo,24,23,175,7.7
2506,1993,DEN,Robert Werdann,22,28,149,7.7
2507,1995,SAC,Bobby Hurley,23,68,1105,7.7
2508,1995,NYK,Herb Williams,36,56,743,7.7
2509,1995,LAC,Elmore Spencer,25,19,368,7.7
2510,1995,CHI,Jo Jo English,24,8,127,7.7
2511,1996,SAS,Greg Anderson,31,46,344,7.7
2512,1997,VAN,Rich Manning,26,16,128,7.7
2513,1997,LAL,Rumeal Robinson,30,15,126,7.7
2514,1998,HOU,Rodrick Rhodes,24,58,1070,7.7
2515,1998,MIA,Terry Mills,30,50,782,7.7
2516,1998,IND,Austin Croshere,22,26,243,7.7
2517,1998,NYK,Ben Davis,25,7,13,7.7
2518,2002,MEM,Grant Long,35,66,1868,7.7
2519,2002,NJN,Donny Marshall,29,20,118,7.7
2520,2003,LAC,Sean Rooks,33,70,1344,7.7
2521,2003,PHI,Art Long,30,19,131,7.7
2522,2004,POR,Dan Dickau,25,20,151,7.7
2523,2004,WAS,Torraye Braggs,27,4,22,7.7
2524,2005,HOU,Ryan Bowen,29,66,604,7.7
2525,2005,NOH,Junior Harrington,24,29,550,7.7
2526,2005,HOU,Tyronn Lue,27,21,479,7.7
2527,2005,MIA,Qyntel Woods,23,3,40,7.7
2528,2006,HOU,John Lucas,23,13,107,7.7
2529,2006,DET,Kelvin Cato,31,4,34,7.7
2530,2007,NYK,Malik Rose,32,65,810,7.7
2531,2007,CHA,Jeff McInnis,32,38,702,7.7
2532,2007,HOU,Steve Novak,23,35,191,7.7
2533,2007,PHO,Eric Piatkowski,36,11,73,7.7
2534,2008,ATL,Acie Law,23,56,865,7.7
2535,2008,NOH,Hilton Armstrong,23,65,732,7.7
2536,2008,LAL,Chris Mihm,28,23,278,7.7
2537,2009,SAC,Bobby Brown,24,47,675,7.7
2538,2009,CHA,Nazr Mohammed,31,39,341,7.7
2539,2009,NJN,Eduardo Najera,32,27,319,7.7
2540,2010,SAS,Keith Bogans,29,79,1559,7.7
2541,2010,MIA,Rafer Alston,33,25,655,7.7
2542,2010,UTA,Kosta Koufos,20,36,172,7.7
2543,2011,CLE,Joey Graham,28,39,586,7.7
2544,2013,CLE,Daniel Gibson,26,46,919,7.7
2545,2013,UTA,Earl Watson,33,48,829,7.7
2546,2013,GSW,Andris Biedrins,26,53,495,7.7
2547,2013,MIL,Drew Gooden,31,16,151,7.7
2548,2014,SAC,Ben McLemore,20,82,2187,7.7
2549,2014,POR,Allen Crabbe,21,15,100,7.7
2550,2014,PHO,Shavlik Randolph,30,14,95,7.7
2551,2015,WAS,DeJuan Blair,25,29,180,7.7
2552,2015,CLE,A.J. Price,28,11,87,7.7
2553,2016,BRK,Andrea Bargnani,30,7,97,7.7
2554,1980,BOS,Don Chaney,33,60,523,7.8
2555,1980,KCK,Tom Burleson,27,37,272,7.8
2556,1982,BOS,Chris Ford,33,76,1591,7.8
2557,1983,SAS,Robert Smith,27,7,25,7.8
2558,1983,SDC,John Douglas,26,3,12,7.8
2559,1984,BOS,M.L. Carr,33,60,585,7.8
2560,1984,ATL,John Pinone,22,7,65,7.8
2561,1985,LAC,Harvey Catchings,33,70,1049,7.8
2562,1985,CLE,Geoff Huston,27,8,93,7.8
2563,1986,SEA,Danny Vranes,27,80,1569,7.8
2564,1986,LAC,Lancaster Gordon,23,60,704,7.8
2565,1986,NJN,Ray Williams,31,5,63,7.8
2566,1987,DEN,T.R. Dunn,31,81,1932,7.8
2567,1987,UTA,Marc Iavaroni,30,78,845,7.8
2568,1988,SAC,Michael Jackson,23,58,760,7.8
2569,1989,DEN,Elston Turner,29,78,1746,7.8
2570,1989,DET,Fennis Dembo,23,31,74,7.8
2571,1990,CLE,Reggie Williams,25,32,542,7.8
2572,1990,LAC,Jay Edwards,21,4,26,7.8
2573,1991,SAS,Dave Greenwood,33,63,1018,7.8
2574,1991,LAC,Ken Bannister,30,47,339,7.8
2575,1992,SAS,Greg Sutton,24,67,601,7.8
2576,1992,HOU,John Turner,24,42,345,7.8
2577,1993,WSB,Charles Jones,35,67,1206,7.8
2578,1994,PHI,Sean Green,23,35,332,7.8
2579,1994,NJN,Dwayne Schintzius,25,30,319,7.8
2580,1995,CLE,Greg Dreiling,32,58,483,7.8
2581,1996,CHH,Pete Myers,32,32,453,7.8
2582,1996,MIN,Jerome Allen,23,41,362,7.8
2583,1996,LAL,Anthony Miller,24,27,123,7.8
2584,1997,BOS,Alton Lister,38,53,516,7.8
2585,1998,DET,Rick Mahorn,39,59,707,7.8
2586,1998,LAC,Loy Vaught,29,10,265,7.8
2587,1998,MIN,Bill Curley,25,11,146,7.8
2588,1998,HOU,Charles Jones,40,24,127,7.8
2589,1999,TOR,Sean Marks,23,8,28,7.8
2590,2000,CHI,Michael Ruffin,23,71,975,7.8
2591,2000,DAL,Bruno Sundov,19,14,61,7.8
2592,2000,CHI,Khalid Reeves,27,3,48,7.8
2593,2000,NYK,Etdrick Bohannon,26,2,5,7.8
2594,2001,NYK,Rick Brunson,28,15,66,7.8
2595,2002,MIN,Felipe Lopez,27,67,581,7.8
2596,2002,MEM,Isaac Austin,32,21,307,7.8
2597,2002,SEA,Antonio Harvey,31,5,47,7.8
2598,2003,NYK,Lavor Postell,24,12,98,7.8
2599,2003,GSW,Guy Rucker,25,3,4,7.8
2600,2004,NJN,Tamar Slay,23,22,165,7.8
2601,2005,GSW,Calbert Cheaney,33,55,951,7.8
2602,2005,TOR,Pape Sow,23,27,255,7.8
2603,2006,PHI,Kevin Ollie,33,70,1069,7.8
2604,2006,SEA,Rick Brunson,33,4,31,7.8
2605,2007,DAL,Greg Buckner,30,76,1372,7.8
2606,2009,HOU,Chuck Hayes,25,71,858,7.8
2607,2009,WAS,Dee Brown,24,17,233,7.8
2608,2010,MEM,Jamaal Tinsley,31,38,589,7.8
2609,2010,CHA,DeSagana Diop,28,27,262,7.8
2610,2010,SAS,Theo Ratliff,36,21,183,7.8
2611,2011,DAL,Sasha Pavlovic,27,10,163,7.8
2612,2011,UTA,Marcus Cousin,24,4,18,7.8
2613,2012,NYK,Mike Bibby,33,39,557,7.8
2614,2012,POR,Nolan Smith,23,44,541,7.8
2615,2012,NJN,Jerry Smith,24,5,46,7.8
2616,2013,WAS,Chris Singleton,23,57,924,7.8
2617,2013,PHO,Kendall Marshall,21,48,702,7.8
2618,2013,OKC,Perry Jones,21,38,280,7.8
2619,2014,WAS,Garrett Temple,27,75,638,7.8
2620,2014,LAC,Antawn Jamison,37,22,248,7.8
2621,2014,LAC,Byron Mullens,24,27,167,7.8
2622,2015,HOU,Kostas Papanikolaou,24,43,795,7.8
2623,2015,MIN,Adreian Payne,23,29,720,7.8
2624,2015,PHO,Anthony Tolliver,29,24,272,7.8
2625,2015,TOR,Greg Stiemsma,29,17,66,7.8
2626,2016,MIA,Josh McRoberts,28,7,96,7.8
2627,1979,GSW,Ray Epps,22,13,72,7.9
2628,1980,SDC,Steve Malovic,23,28,277,7.9
2629,1980,NJN,Tim Bassett,28,7,92,7.9
2630,1981,WSB,Keith McCord,23,2,9,7.9
2631,1982,POR,Petur Gudmundsson,23,68,845,7.9
2632,1982,DAL,Ollie Mack,24,13,150,7.9
2633,1983,HOU,Jeff Taylor,23,44,774,7.9
2634,1983,WSB,Carlos Terry,26,55,514,7.9
2635,1984,PHI,Franklin Edwards,24,60,654,7.9
2636,1985,NYK,James Bailey,27,74,1297,7.9
2637,1986,GSW,Jerome Whitehead,29,81,1079,7.9
2638,1986,BOS,Rick Carlisle,26,77,760,7.9
2639,1986,MIL,Paul Mokeski,29,45,521,7.9
2640,1986,NYK,Fred Cofield,24,45,469,7.9
2641,1987,DAL,Bill Wennington,23,58,560,7.9
2642,1988,SAC,Joe Arlauckas,22,9,85,7.9
2643,1989,UTA,Jim Les,25,82,781,7.9
2644,1989,MIA,Craig Neal,24,32,341,7.9
2645,1990,PHI,Kurt Nimphius,31,38,314,7.9
2646,1991,IND,George McCloud,23,74,1070,7.9
2647,1991,MIN,Richard Coffey,25,52,320,7.9
2648,1991,IND,Byron Dinkins,23,2,5,7.9
2649,1993,NJN,Tate George,24,48,380,7.9
2650,1993,SAS,Terry Cummings,31,8,76,7.9
2651,1994,LAC,Tom Tolbert,28,49,640,7.9
2652,1994,PHO,Duane Cooper,24,23,136,7.9
2653,1995,UTA,James Donaldson,37,43,613,7.9
2654,1996,CHI,Jason Caffey,22,57,545,7.9
2655,1996,NYK,Herb Williams,37,43,540,7.9
2656,1996,NYK,Monty Williams,24,14,62,7.9
2657,1997,MIL,Joe Wolf,32,56,525,7.9
2658,1998,VAN,Bobby Hurley,26,27,458,7.9
2659,1998,DAL,Kevin Ollie,25,16,214,7.9
2660,1998,SAC,Derek Grimm,23,9,34,7.9
2661,2000,SAC,Tyrone Corbin,37,54,941,7.9
2662,2001,CHI,Bryce Drew,26,48,1305,7.9
2663,2001,PHO,Daniel Santiago,24,54,581,7.9
2664,2002,SAS,Stephen Jackson,23,23,227,7.9
2665,2003,DAL,Raja Bell,26,75,1173,7.9
2666,2003,MIL,Joel Przybilla,23,32,546,7.9
2667,2004,UTA,Curtis Borchardt,23,16,258,7.9
2668,2005,NOH,George Lynch,34,44,933,7.9
2669,2005,ORL,Doug Christie,34,21,529,7.9
2670,2006,CLE,Luke Jackson,24,36,315,7.9
2671,2007,CHA,Adam Morrison,22,78,2326,7.9
2672,2008,MIA,Daequan Cook,20,59,1441,7.9
2673,2008,NYK,Jared Jeffries,26,73,1325,7.9
2674,2008,MIN,Chris Richard,23,52,556,7.9
2675,2008,MIN,Gerald Green,22,29,358,7.9
2676,2009,CHI,Lindsey Hunter,38,28,266,7.9
2677,2010,MIL,Charlie Bell,30,71,1611,7.9
2678,2010,GSW,Vladimir Radmanovic,29,33,758,7.9
2679,2010,DET,Kwame Brown,27,48,660,7.9
2680,2010,SAC,Joey Dorsey,26,8,52,7.9
2681,2010,ATL,Othello Hunter,23,7,33,7.9
2682,2010,IND,Travis Diener,27,4,25,7.9
2683,2012,MIA,Norris Cole,23,65,1260,7.9
2684,2013,MIA,Norris Cole,24,80,1590,7.9
2685,2013,DET,Kim English,24,41,407,7.9
2686,2013,DET,Corey Maggette,33,18,257,7.9
2687,2014,SAC,Aaron Gray,29,33,335,7.9
2688,2014,MEM,Darius Morris,23,5,66,7.9
2689,2015,ORL,Willie Green,33,52,951,7.9
2690,2015,UTA,Elijah Millsap,27,47,924,7.9
2691,1978,BUF,Larry Johnson,23,4,38,8.0
2692,1979,NJN,Tim Bassett,27,82,1508,8.0
2693,1979,NOJ,Ira Terrell,24,31,572,8.0
2694,1979,PHI,Al Skinner,26,22,309,8.0
2695,1979,MIL,Otis Howard,22,3,22,8.0
2696,1981,CLE,Chad Kinch,22,29,247,8.0
2697,1982,CHI,Jackie Robinson,26,3,29,8.0
2698,1983,ATL,Steve Hawes,32,46,860,8.0
2699,1985,PHO,Alvin Scott,29,77,1238,8.0
2700,1985,DAL,Charlie Sitton,22,43,304,8.0
2701,1986,SAC,Michael Adams,23,18,139,8.0
2702,1987,IND,Stuart Gray,23,55,456,8.0
2703,1988,POR,Caldwell Jones,37,79,1778,8.0
2704,1988,MIL,Pace Mannion,27,35,477,8.0
2705,1988,LAC,Lancaster Gordon,25,8,65,8.0
2706,1990,CHH,Robert Reid,34,60,1117,8.0
2707,1991,PHI,Jayson Williams,22,52,508,8.0
2708,1992,SAS,Paul Pressey,33,56,759,8.0
2709,1992,CHH,Michael Ansley,24,2,13,8.0
2710,1994,LAL,Antonio Harvey,23,27,247,8.0
2711,1994,MIN,Corey Williams,23,4,46,8.0
2712,1996,CHH,George Zidek,22,71,888,8.0
2713,1996,MIL,Todd Day,26,8,171,8.0
2714,1996,ATL,Todd Mundt,25,24,118,8.0
2715,1996,MIA,Jeff Malone,34,7,103,8.0
2716,1996,CHH,Donald Hodge,26,2,2,8.0
2717,1997,CLE,Antonio Lang,24,64,843,8.0
2718,1997,WSB,Lorenzo Williams,27,19,264,8.0
2719,1999,LAL,Dennis Rodman,37,23,657,8.0
2720,1999,LAL,Corie Blount,30,14,162,8.0
2721,2000,MIA,Rex Walters,29,33,389,8.0
2722,2000,GSW,Sam Mack,29,23,333,8.0
2723,2000,POR,Gary Grant,34,3,24,8.0
2724,2002,NYK,Shandon Anderson,28,82,1596,8.0
2725,2002,ORL,Jud Buechler,33,60,630,8.0
2726,2002,HOU,Glen Rice,34,20,606,8.0
2727,2002,DEN,Mengke Bateer,26,27,408,8.0
2728,2003,ATL,Emanual Davis,34,24,340,8.0
2729,2004,ATL,Jacque Vaughn,28,71,1271,8.0
2730,2004,LAL,Rick Fox,34,38,846,8.0
2731,2004,NJN,Robert Pack,34,26,220,8.0
2732,2005,UTA,Jarron Collins,26,50,961,8.0
2733,2005,ATL,Kevin Willis,42,29,344,8.0
2734,2005,NYK,Jermaine Jackson,28,21,230,8.0
2735,2006,MEM,Dahntay Jones,25,71,967,8.0
2736,2006,DET,Jason Maxiell,22,26,159,8.0
2737,2007,UTA,Jarron Collins,28,82,913,8.0
2738,2007,NOK,Cedric Simmons,21,43,534,8.0
2739,2007,IND,Keith McLeod,27,22,339,8.0
2740,2007,LAC,Yaroslav Korolev,19,10,41,8.0
2741,2008,UTA,Jason Hart,29,57,606,8.0
2742,2009,ORL,Keith Bogans,28,36,787,8.0
